DESTABILIZING ENERGIES BY SIZE OF LOOP (INTERPOLATE WHERE NEEDED)
hp3 ave calc no tmm;hp4 ave calc with tmm; ave all bulges
SIZE    INTERNAL    BULGE       HAIRPIN
-------------------------------------------------------
1         .          3.8          .
2         .          2.8           .
3         .          3.2          5.4 
4        1.1         3.9          5.6
5		 2.0 		 4.3		  5.7
6		 2.0 		 4.7		  5.4
7		 2.4 		 4.9		  6.0
8		 2.6 		 5		      5.5
9		 2.7 		 5.1		  6.4
10		 2.8 		 5.2		  6.8
11		 2.9 		 5.3		  6.9
12		 3 		 5.4		  7
13		 3.1 		 5.5		  7.1
14		 3.2 		 5.6		  7.2
15		 3.2 		 5.7		  7.2
16		 3.3 		 5.7		  7.3
17		 3.4 		 5.8		  7.4
18		 3.4 		 5.8		  7.4
19		 3.5 		 5.9		  7.5
20		 3.6 		 6		  7.5
21		 3.6 		 6		  7.6
22		 3.7 		 6.1		  7.6
23		 3.7 		 6.1		  7.7
24		 3.8 		 6.1		  7.7
25		 3.8 		 6.2		  7.8
26		 3.8 		 6.2		  7.8
27		 3.9 		 6.3		  7.8
28		 3.9 		 6.3		  7.9
29		 4 		 6.3		  7.9
30		 4 		 6.4		  8
